Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
02/06/2023,DAY B,PACKAGING,,Faint code on cans,Clogging of Markem Imaje machine coding head,The machine was stopped while affected cans were retrieved and recoded,The print head was cleaned to remove the clog,,,
02/06/2023,DAY B,PACKAGING,,"Total of 304 cans with white patches on the lid from trolley 1 - 4, 11, 12 ,18 - 21, 29, 31, 32, 34,50 and 52 emanating from autoclave  6,3,6,2, 4 and 6 respectively with a ph of 7.59, 8.12, 7.59, 7.56, 7.54, 7.79 and 7.62",Quality of lids," Affected cans were removed from the trolley, Consistent monitoring of the trolley",,,,
02/06/2023,DAY B,FILLING/AUTOCALVE,,Dent on Cans,Metal guide at the seamer heads not adequately positioned.,The line was stopped and affected cans were isolated.,The metal guide was adjusted,,,
03/06/2023,DAY B,PACKAGING,,"Total of 25 cans with white patches on the lid from trolley 21, 26, 40, 41, 42 and 43 emanating from autoclave 3 and 4 with a ph of 7.17, 7.15 and 7.11",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
03/06/2023,DAY B,PROCESS,,High brix,Failure in communication between the counter flow meter and the water inlet valve,The water counter was programmed to additional volume and hydrayed for 10 minutes until trhe brix fall within spec. Suggestion through mail for the implimentation of calibrated guage to the mixing tank as a secondary control measure.,Partial contact on signal line was well terminated,,,
04/06/2023,DAY A,CANNING,, The ascending conveyor making strange noise,Faulty bearing,The line was stopped.,The faulty bearing was replaced,,,
04/06/2023,DAY A,CANNING,,Failure of external lacquer,The noozle dispensing the external lacquer trip off,"The line was stopped, affected cans were traced and removed from the line to apply the lacquer manually on the cans.",The nozzle was cleaned and monitored,,,
04/06/2023,DAY A,PACKAGING,,Total of 11 cans with white patches on the lid from trolley 11 and 12 emanating from autoclave 6 with a pH of 7.09 ,Quality of lids," Affected cans were removed from the trolley, Consistent monitoring of the trolley",NA,,,
05/06/2023,DAY A,FILLING/AUTOCLAVE,,Thermal shock on Cans,Rise in pressure during sterilization,Affected trolleys were placed on hold and PC check was carried out on some cans to ascertain sterilization,Adequate monitoring of the pressure Valve of the autoclave during use at each stage,,,
05/06/2023,DAY A,PACKAGING,,"Total of 34 cans with white patches on the lid from trolley 8, 34, 36, 45, 46 and 47 emanating from autoclave 4 and 6 with a pH of 6.63, 6.70 and 6.67",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
06/06/2023,DAY A,PACKAGING,,Faint code on cans line 1 and 2,Low markem imaje ink,The machine was stopped while affected cans were retrieved and recoded,The machine ink was refilled,,,
06/06/2023,DAY A,PACKAGING,,Uncoded cans on line 1,Clogging of Markem Imaje machine coding head,The machine was stopped while affected cans were retrieved and recoded,The print head was cleaned to remove the clog,,,
06/06/2023,DAY A,CANNING,,Bad seaming,Lid hooked on seamer chuck, Affected cans were removed from the line,The hooked lid on the seamer chuck was removed,,,
06/06/2023,DAY A,CANNING,,Failure of external lacquer,The noozle dispensing the external lacquer trip off,"The line was stopped, affected cans were traced and removed from the line ,and  lacquer was applied manually on the affected cans.",The nozzle was cleaned and monitored,,,
07/06/2023,DAY B,CANNING,,Lacquer powder not properly cured in cans at start-up.,Misalignment of cans on the induction oven conveyor belt,"The line was stopped immediately, affected cans were traced and removed from the line ,and recured after the adjustment by the technician on duty.",The Induction oven belt was adjusted properly.,,,
07/06/2023,DAY B,CANNING,,Bad seaming,Lid hooked on seamer chuck, Affected cans were removed from the line,The hooked lid on the seamer chuck was removed,,,
07/06/2023,DAY B,PACKAGING,,"Total of 246 cans with white patches/ rust on the lid from trolley 5, 7, 8, 13, 15, 32, 39, 40, 41, 43 and 45 emanating from autoclave 3, 4 and 6 with a ph of 7.11, 6.85 and 6.44",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
08/06/2023,DAY B,CANNING,,Lacquer powder not centralized in the can,Sprayer channel tripped off,"The line was stopped immediately, affected cans were traced and removed from the line ",Adjustment of the powder spray channel,,,
08/06/2023,DAY B,PACKAGING,,"Total of 313 cans with white patches/rust on the lid from trolley 13, 24, 25, 33, 35, 36, 37, 38, 39, 40, 42, 43 and 44 emanating from autoclave 3, 4 and 6 with a ph of 6.89, 6.71, 6.60  and 6.77.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
08/06/2023,DAY B,FILLING/AUTOCALVE,,"Thermal shock on some Cans from Autoclave 6, affecting trolleys 21-24.",Slight  rise in pressure during sterilization,Affected trolleys were placed on hold and PC check was carried out on some cans to ascertain sterilization,Adequate monitoring of the pressure Valve of the autoclave during use at each stage,,,
09/06/2023,DAY B,PACKAGING,,Total of 19 cans with white patches/rust on the lid from trolley 6 and 32 emanating from autoclave 3 with a ph of 7.82,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
10/06/2023,DAY A,PACKAGING,,Total of 37cans with white patches/rust on the lid from trolley 21 and 23 emanating from autoclave 3 with a ph of 7.25,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
10/06/2023,DAY A,CANNING,,Failure of external lacquer,The noozle dispensing the external lacquer trip off,"The line was stopped, affected cans were traced and removed from the line ,and  lacquer was applied manually on the affected cans.",The nozzle was cleaned and monitored,,,
10/06/2023,DAY A,CANNING,,Jamming of cans,Sticking of cans ,The affected cans were removed from the line and the tecnician on duty was duly informed,The Induction oven belt  was cleaned adjusted ,,,
11/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
